Item,Description,Price,Dairy,Gluten,Soy,Vegan,Vegetarian,Raw,Spicy
Miso Soup,"Soybean Paste with Tofu, Scallions, Seaweed",2,0,1,0,0,0,0,0
House Salad,"Lettuce mixed with Carrot, Cabbage, Onion, topped with Japanese Ginger Dressing",2.5,0,1,1,0,1,0,0
Edamame,Steamed Japanese Soybeans with Salt,5.5,0,0,1,0,1,0,0
Sunomono,"Octopus, Crab Stick, Shrimp, Japanese Radish, Sliced Cucumber, Sunomono Sauce",8.5,0,0,0,0,0,0,0
Seaweed Salad,Marinated Seaweed Salad,5.5,0,1,0,0,0,0,0
Octopus Salad,Marinated Squid Salad,6.5,0,1,0,0,0,0,0
Tuna Tadaki Salad,"Seared Tuna on top of Spring Mix with Cucumber, Green Onion, and Radish. Served with Olive Oil Sauce, Ponzu Sauce, and House Wine Sauce",12,0,1,1,0,0,1,0
Cajun Tuna Tadaki Salad,"Seared Cajun Tuna on top of Spring Mix with Cucumber, Green Onion, and Radish. Served with Olive Oil Sauce, Ponzu Sauce, and House Wine Sauce",12.5,0,1,1,0,0,1,0
Panko Tuna Tadaki Salad,"Panko-breaded and deep-fried Tuna on top of Spring Mix with Cucumber, Green Onion, and Radish. Served with Olive Oil Sauce, Ponzu Sauce, and House Wine Sauce",12.5,0,1,1,0,0,1,0
Salmon Tadaki Salad,"Seared Salmon on top of Spring Mix with Cucumber, Green Onion, and Radish. Served with Olive Oil Sauce, Ponzu Sauce, and House Wine Sauce",12.5,0,1,1,0,0,1,0
Sashimi Salad,"Assortment of Fresh Fish on top of Spring Mix with Cucumber, Green Onion, and Radish. Served with Olive Oil Sauce, Ponzu Sauce, & House Wine Sauce",13,0,1,1,0,0,1,0
Agedashi Tofu,Deep-fried Tofu served with Teriyaki Sauce,5.5,0,1,1,0,1,0,0
Gyoza,Pork Gyoza served deep-fried or steamed with Spicy Ponzu Sauce (5 pieces),6.5,0,1,1,0,0,0,0
Vegetable Gyoza,Vegetable Gyoza served deep-fried or steamed with Spicy Ponzu Sauce (5 pieces),6.5,0,1,1,0,1,0,0
Katsu Shrimp Tempura,Katsu Shrimp lightly battered in Tempura & deep-fried. Served with Tempura Sauce (4 pieces),8.5,0,1,1,0,0,0,0
Vegetable Tempura,"Zucchini, Squash, Sweet Potato, Eggplant, Asparagus, Mushroom lightly battered in Tempura then deep-fried. Served with Tempura Sauce (6 pieces",7.8,0,1,1,1,1,0,0
Coconut Shrimp Tempura,Shrimp in a light Coconut Tempura Batter then deep-fried with Sweet Chili Sauce (4 pieces),8.5,0,1,1,0,0,0,0
Shrimp Shumai,Steamed or deep-fried Shrimp Dumplings served with Spicy Ponzu Sauce (4 pieces),7,0,1,1,0,0,0,0
Spider (Appetizer),Cornstarch deep-fried Soft Shell Crab served with Teriyaki Sauce,,0,0,0,0,0,0,0
(2 pieces),9,,1,1,0,0,0,0,0
